id,order_id,product_id,title,variant_title,sku,quantity,price,total_discount
50000000011,5000000001,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000021,5000000002,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000031,5000000003,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,4.50
50000000041,5000000004,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000051,5000000005,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000061,5000000006,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000071,5000000007,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000081,5000000008,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000091,5000000009,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000101,5000000010,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000111,5000000011,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000121,5000000012,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000131,5000000013,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000141,5000000014,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000151,5000000015,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000161,5000000016,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000171,5000000017,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000181,5000000018,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000191,5000000019,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000201,5000000020,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000211,5000000021,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,0.00
50000000221,5000000022,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,0.00
50000000231,5000000023,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,0.00
50000000241,5000000024,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000251,5000000025,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000261,5000000026,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000271,5000000027,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000281,5000000028,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000291,5000000029,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000301,5000000030,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000311,5000000031,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000321,5000000032,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,5.25
50000000331,5000000033,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,34.50
50000000341,5000000034,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000351,5000000035,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000361,5000000036,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,23.00
50000000381,5000000038,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,57.50
50000000391,5000000039,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000401,5000000040,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000411,5000000041,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000421,5000000042,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000431,5000000043,PROD_007,Complete Routine Bundle,90-day supply,CRB-90,1,229.99,0.00
50000000451,5000000045,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,0.00
50000000461,5000000046,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,22.50
50000000471,5000000047,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000481,5000000048,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000491,5000000049,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000501,5000000050,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000511,5000000051,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000521,5000000052,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000531,5000000053,PROD_006,Complete Routine Bundle,30-day supply,CRB-30,1,89.99,0.00
50000000541,5000000054,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000551,5000000055,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,6.00
50000000561,5000000056,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000571,5000000057,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000581,5000000058,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000591,5000000059,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000601,5000000060,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000611,5000000061,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,3.00
50000000621,5000000062,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000631,5000000063,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000641,5000000064,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000642,5000000064,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000661,5000000066,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000671,5000000067,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000681,5000000068,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,4.50
50000000691,5000000069,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,4.50
50000000701,5000000070,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,4.50
50000000711,5000000071,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000721,5000000072,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000731,5000000073,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000732,5000000073,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000741,5000000074,PROD_003,Renewal Night Cream,30-day supply,RNC-30,1,44.99,0.00
50000000751,5000000075,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000761,5000000076,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000771,5000000077,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000781,5000000078,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000791,5000000079,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,8.75
50000000801,5000000080,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,0.00
50000000811,5000000081,PROD_001,Daily Hydration Serum,30-day supply,DHS-30,1,34.99,0.00
50000000831,5000000083,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000841,5000000084,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000851,5000000085,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,11.00
50000000861,5000000086,PROD_004,Renewal Night Cream,90-day supply,RNC-90,1,109.99,0.00
50000000871,5000000087,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,6.00
50000000881,5000000088,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000891,5000000089,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000901,5000000090,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
50000000911,5000000091,PROD_005,Brightening Vitamin C Drops,30-day supply,BVC-30,1,29.99,0.00
